version,processes,128,256,512,1024,2048
mpi_v1_p2p,1,1.0,1.0,1.0,1.0,1.0
mpi_v1_p2p,2,0.7853170189098729,1.4789901284179237,1.9538611387553737,1.637043831251405,1.222844183661239
mpi_v1_p2p,4,0.4711063659415313,2.0419732239778075,2.5177181601762655,0.8895394868234602,1.5010140331638955
mpi_v1_p2p,8,0.5545954438334503,0.9746409141936011,2.09714717530014,1.0802948213527117,1.7156795045194095
mpi_v1_p2p,16,0.3472700442695361,1.2933043046484014,2.1288867612197704,0.8967706484469845,1.8273813731811999
mpi_v2_collective,1,1.0,1.0,1.0,1.0,1.0
mpi_v2_collective,2,0.8364348677766896,2.1694513312493444,1.9265694026803268,1.4992008259005776,1.0408933703107333
mpi_v2_collective,4,0.3746435621846897,1.4904284074499223,2.3607332939089316,1.3737299574695716,1.3967915694190842
mpi_v2_collective,8,0.31137578998541754,1.358763165001356,1.8798520013454412,0.8178864898584883,1.6753903378525503
mpi_v2_collective,16,0.11103406431481369,0.9668059758850915,1.4396588621340143,0.9844050120332016,1.9647486825753817
