version,threads,128,256,512,1024,2048
v1_row_block,1,1.0,1.0,1.0,1.0,1.0
v1_row_block,2,0.9547047184246332,0.9476701639067964,0.9860759299428523,0.8856993944140834,0.6107258902815289
v1_row_block,4,0.6710837013871209,0.7063158061344902,0.6064766346671048,0.46090310106408067,0.47318685184469733
v1_row_block,8,0.27288592274042234,0.3837350652342868,0.3807062038435891,0.17397718885100227,0.31612644076961743
v1_row_block,16,0.14741828864845338,0.2299991720827616,0.22177398422790784,0.12791648794190744,0.18771295602836638
v2_cyclic_rows,1,1.0,1.0,1.0,1.0,1.0
v2_cyclic_rows,2,1.5766936273585137,1.5967634879696717,1.2390600490138013,0.6999330117430332,0.5358233801368187
v2_cyclic_rows,4,0.9984564599126228,1.0770221316478346,0.7573068458298451,0.48258353321509856,0.41593964870937544
v2_cyclic_rows,8,0.5375042218111626,0.7210187772471373,0.539382643041034,0.24449926525441998,0.23688730224696578
v2_cyclic_rows,16,0.2331277333033244,0.36436390606062546,0.290785664577668,0.1054547276074095,0.1454536676291214
