experiment,backend,version,status,threads,avg_time_sec,m,n,k,baseline_checksum_match
matmul,openmp,openmp_default,ok,1,0.138918250,512,512,512,True
matmul,openmp,openmp_default,ok,1,1.024730306,1024,1024,1024,True
matmul,openmp,openmp_default,ok,1,24.342917330,2048,2048,2048,True
matmul,openmp,openmp_default,ok,2,0.102223931,512,512,512,True
matmul,openmp,openmp_default,ok,2,0.804205487,1024,1024,1024,True
matmul,openmp,openmp_default,ok,2,22.613539178,2048,2048,2048,True
matmul,openmp,openmp_default,ok,3,0.069709181,512,512,512,True
matmul,openmp,openmp_default,ok,3,0.612667028,1024,1024,1024,True
matmul,openmp,openmp_default,ok,3,18.162292120,2048,2048,2048,True
matmul,openmp,openmp_default,ok,4,0.088793556,512,512,512,True
matmul,openmp,openmp_default,ok,4,1.839971056,1024,1024,1024,True
matmul,openmp,openmp_default,ok,4,16.466338938,2048,2048,2048,True
matmul,openmp,openmp_default,ok,5,0.059417653,512,512,512,True
matmul,openmp,openmp_default,ok,5,0.694194792,1024,1024,1024,True
matmul,openmp,openmp_default,ok,5,14.346108895,2048,2048,2048,True
matmul,openmp,openmp_default,ok,6,0.063427305,512,512,512,True
matmul,openmp,openmp_default,ok,6,1.289640737,1024,1024,1024,True
matmul,openmp,openmp_default,ok,6,12.570952145,2048,2048,2048,True
matmul,openmp,openmp_default,ok,7,0.045194625,512,512,512,True
matmul,openmp,openmp_default,ok,7,0.540858736,1024,1024,1024,True
matmul,openmp,openmp_default,ok,7,15.011752451,2048,2048,2048,True
matmul,openmp,openmp_default,ok,8,0.059210472,512,512,512,True
matmul,openmp,openmp_default,ok,8,0.795629764,1024,1024,1024,True
matmul,openmp,openmp_default,ok,8,13.349427131,2048,2048,2048,True
matmul,openmp,openmp_static1,ok,1,0.265302722,512,512,512,True
matmul,openmp,openmp_static1,ok,1,3.049591557,1024,1024,1024,True
matmul,openmp,openmp_static1,ok,1,27.851992985,2048,2048,2048,True
matmul,openmp,openmp_static1,ok,2,0.123181555,512,512,512,True
matmul,openmp,openmp_static1,ok,2,0.931086987,1024,1024,1024,True
matmul,openmp,openmp_static1,ok,2,26.722369026,2048,2048,2048,True
matmul,openmp,openmp_static1,ok,3,0.171407722,512,512,512,True
matmul,openmp,openmp_static1,ok,3,1.409698750,1024,1024,1024,True
matmul,openmp,openmp_static1,ok,3,20.472275260,2048,2048,2048,True
matmul,openmp,openmp_static1,ok,4,0.068042792,512,512,512,True
matmul,openmp,openmp_static1,ok,4,0.632310875,1024,1024,1024,True
matmul,openmp,openmp_static1,ok,4,14.156828548,2048,2048,2048,True
matmul,openmp,openmp_static1,ok,5,0.060300958,512,512,512,True
matmul,openmp,openmp_static1,ok,5,0.629513639,1024,1024,1024,True
matmul,openmp,openmp_static1,ok,5,19.969940578,2048,2048,2048,True
matmul,openmp,openmp_static1,ok,6,0.065815500,512,512,512,True
matmul,openmp,openmp_static1,ok,6,0.624156403,1024,1024,1024,True
matmul,openmp,openmp_static1,ok,6,19.622887703,2048,2048,2048,True
matmul,openmp,openmp_static1,ok,7,0.089054417,512,512,512,True
matmul,openmp,openmp_static1,ok,7,0.818052722,1024,1024,1024,True
matmul,openmp,openmp_static1,ok,7,15.376086271,2048,2048,2048,True
matmul,openmp,openmp_static1,ok,8,0.066377125,512,512,512,True
matmul,openmp,openmp_static1,ok,8,0.887262097,1024,1024,1024,True
matmul,openmp,openmp_static1,ok,8,13.474975381,2048,2048,2048,True
matmul,openmp,openmp_dynamic1,ok,1,0.459634639,512,512,512,True
matmul,openmp,openmp_dynamic1,ok,1,1.455214889,1024,1024,1024,True
matmul,openmp,openmp_dynamic1,ok,1,29.822172430,2048,2048,2048,True
matmul,openmp,openmp_dynamic1,ok,2,0.079865708,512,512,512,True
matmul,openmp,openmp_dynamic1,ok,2,0.553315917,1024,1024,1024,True
matmul,openmp,openmp_dynamic1,ok,2,28.362545499,2048,2048,2048,True
matmul,openmp,openmp_dynamic1,ok,3,0.076104597,512,512,512,True
matmul,openmp,openmp_dynamic1,ok,3,0.620480069,1024,1024,1024,True
matmul,openmp,openmp_dynamic1,ok,3,20.493370815,2048,2048,2048,True
matmul,openmp,openmp_dynamic1,ok,4,0.064236333,512,512,512,True
matmul,openmp,openmp_dynamic1,ok,4,0.632219181,1024,1024,1024,True
matmul,openmp,openmp_dynamic1,ok,4,14.255048340,2048,2048,2048,True
matmul,openmp,openmp_dynamic1,ok,5,0.062859195,512,512,512,True
matmul,openmp,openmp_dynamic1,ok,5,0.661037723,1024,1024,1024,True
matmul,openmp,openmp_dynamic1,ok,5,15.303201465,2048,2048,2048,True
matmul,openmp,openmp_dynamic1,ok,6,0.113221820,512,512,512,True
matmul,openmp,openmp_dynamic1,ok,6,1.658637875,1024,1024,1024,True
matmul,openmp,openmp_dynamic1,ok,6,20.558263065,2048,2048,2048,True
matmul,openmp,openmp_dynamic1,ok,7,0.050721694,512,512,512,True
matmul,openmp,openmp_dynamic1,ok,7,0.523223098,1024,1024,1024,True
matmul,openmp,openmp_dynamic1,ok,7,18.148479244,2048,2048,2048,True
matmul,openmp,openmp_dynamic1,ok,8,0.105947528,512,512,512,True
matmul,openmp,openmp_dynamic1,ok,8,1.800915070,1024,1024,1024,True
matmul,openmp,openmp_dynamic1,ok,8,18.871054883,2048,2048,2048,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,1,0.174838667,512,512,512,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,1,1.000138348,1024,1024,1024,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,1,28.346497874,2048,2048,2048,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,2,0.132888028,512,512,512,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,2,1.260242737,1024,1024,1024,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,2,25.366043290,2048,2048,2048,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,3,0.208436625,512,512,512,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,3,1.615321168,1024,1024,1024,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,3,29.589568375,2048,2048,2048,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,4,0.104903653,512,512,512,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,4,1.106414709,1024,1024,1024,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,4,27.439741749,2048,2048,2048,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,5,0.149807500,512,512,512,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,5,3.015026654,1024,1024,1024,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,5,32.219562571,2048,2048,2048,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,6,0.198491167,512,512,512,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,6,2.761822140,1024,1024,1024,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,6,32.484715043,2048,2048,2048,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,7,0.265644681,512,512,512,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,7,2.748413418,1024,1024,1024,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,7,19.043241426,2048,2048,2048,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,8,0.080266958,512,512,512,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,8,0.982695848,1024,1024,1024,True
matmul,pthreads_parallel_for,parallel_for_row_block,ok,8,16.318438424,2048,2048,2048,True
