version,threads,512,1024,2048
openmp_default,1,0.13891825,1.024730306,24.34291733
openmp_default,2,0.102223931,0.804205487,22.613539178
openmp_default,3,0.069709181,0.612667028,18.16229212
openmp_default,4,0.088793556,1.839971056,16.466338938
openmp_default,5,0.059417653,0.694194792,14.346108895
openmp_default,6,0.063427305,1.289640737,12.570952145
openmp_default,7,0.045194625,0.540858736,15.011752451
openmp_default,8,0.059210472,0.795629764,13.349427131
openmp_dynamic1,1,0.459634639,1.455214889,29.82217243
openmp_dynamic1,2,0.079865708,0.553315917,28.362545499
openmp_dynamic1,3,0.076104597,0.620480069,20.493370815
openmp_dynamic1,4,0.064236333,0.632219181,14.25504834
openmp_dynamic1,5,0.062859195,0.661037723,15.303201465
openmp_dynamic1,6,0.11322182,1.658637875,20.558263065
openmp_dynamic1,7,0.050721694,0.523223098,18.148479244
openmp_dynamic1,8,0.105947528,1.80091507,18.871054883
openmp_static1,1,0.265302722,3.049591557,27.851992985
openmp_static1,2,0.123181555,0.931086987,26.722369026
openmp_static1,3,0.171407722,1.40969875,20.47227526
openmp_static1,4,0.068042792,0.632310875,14.156828548
openmp_static1,5,0.060300958,0.629513639,19.969940578
openmp_static1,6,0.0658155,0.624156403,19.622887703
openmp_static1,7,0.089054417,0.818052722,15.376086271
openmp_static1,8,0.066377125,0.887262097,13.474975381
